"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","56","Get non-existent booking ID returns 404","","2026-05-12","passed","2026-05-12","Booking Negative Tests","booking.negative.spec.ts","",""
"","59","05 - Partial update (PATCH) returns the patched fields","","2026-05-12","passed","2026-05-12","Booking CRUD Journey","booking.crud.spec.ts","",""
"","57","06 - Delete booking returns 201","","2026-05-12","passed","2026-05-12","Booking CRUD Journey","booking.crud.spec.ts","",""
"","217","Delete booking without token returns 403","","2026-05-12","passed","2026-05-12","Booking Negative Tests","booking.negative.spec.ts","",""
"","4","01 - Create booking returns 200 and a valid booking ID","","2026-05-12","passed","2026-05-12","Booking CRUD Journey","booking.crud.spec.ts","",""
"","111","03 - Get all bookings contains our booking ID","","2026-05-12","passed","2026-05-12","Booking CRUD Journey","booking.crud.spec.ts","",""
"","114","04 - Full update (PUT) returns the updated data","","2026-05-12","passed","2026-05-12","Booking CRUD Journey","booking.crud.spec.ts","",""
"","64","valid credentials return a non-empty token","","2026-05-12","passed","2026-05-12","Auth API","auth.spec.ts","",""
"","288","health check returns 201","","2026-05-12","passed","2026-05-12","Auth API","auth.spec.ts","",""
"","68","02 - Get booking returns the correct guest data","","2026-05-12","passed","2026-05-12","Booking CRUD Journey","booking.crud.spec.ts","",""
"","55","Create booking with missing required fields returns 500","","2026-05-12","passed","2026-05-12","Booking Negative Tests","booking.negative.spec.ts","",""
"","55","07 - Confirm deleted booking returns 404","","2026-05-12","passed","2026-05-12","Booking CRUD Journey","booking.crud.spec.ts","",""
